Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Congo, Rep.",COG,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.17185504,14.8785731,15.45472873,15.20853755,16.66558659,15.17837001,16.79831393,17.44479184,18.08102552,17.89255984,19.38399646,17.9496979,18.63596879,15.91993092,15.51341967,15.45062401,12.78229564,13.43961227,13.35170029,13.05371302,13.17431556,10.11266931,9.701376279,9.389454321,10.00856149,,,,,,,
Colombia,COL,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.35267756,11.45500086,11.65225397,11.73911441,11.99810991,12.40539918,12.35904564,13.17460879,12.65208519,13.55280391,13.88266557,14.17386952,14.81895289,15.08265773,15.72503579,15.82399215,16.06692552,17.25657983,17.02386186,16.60900317,17.07774884,18.23568533,18.77295751,18.49987717,19.13107394,,,,,,,
Comoros,COM,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.60303281,,,,,,,,,,,,,,49.25394233,46.54466437,42.08898081,43.4604839,,,,,,,,,,,,,,
Cabo Verde,CPV,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.34525883,,,,,,,,,,,,,,24.15995366,23.22090936,24.33731444,27.75732187,,,,,,,,,,,,,,
Costa Rica,CRI,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.47120159,17.80239512,15.05664602,15.80313094,16.76471652,17.11143999,17.26905313,17.98624289,19.38472074,18.31969022,17.40726071,17.90798171,17.6036347,17.1093578,15.08109424,15.68599091,15.55944162,15.62110997,16.08510605,16.03184023,16.58147698,17.27849852,17.82595406,17.85342312,18.24917898,,,,,,,
Caribbean small states,CSS,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.394799954,,,,,,,,,,3.677808992,3.487885121,3.5314392,3.487202809,4.770753463,4.457308487,4.319613893,4.271529182,3.364914934,3.290753963,3.198540891,3.260829728,3.448636607,3.480766882,3.566918994,,,,,,,
Cuba,CUB,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.820209848,1.734397932,1.773717226,1.86524222,1.767435821,1.849094041,1.906781023,1.721847183,1.839095281,1.784614235,2.007828521,1.699781237,2.020239381,2.263021808,2.044902955,,,,,,,
Cayman Islands,CYM,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.71878327,10.58106562,10.28301099,9.644590311,8.938461221,10.99520099,10.0124151,10.48814218,10.3984191,10.86072008,10.69935081,11.24167113,11.50288712,10.85009572,12.16531921,12.55340649,12.63793436,12.57480384,12.30114247,12.33027372,13.03940959,13.50566341,13.86762763,14.94081715,14.36121801,,,,,,,
Czechia,CZE,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.916712389,4.804494081,4.9186971,5.076542041,5.388498688,5.661617291,5.720522893,5.653517978,5.815860474,6.330712776,6.262854874,6.283740334,6.314384818,6.251085537,6.399235753,6.904178182,7.203094012,7.598242838,7.984931307,8.12507964,7.900885662,8.3392741,8.309667824,8.436476405,8.783067002,9.370049425,,,,,,
Germany,DEU,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.300487654,8.899633614,9.242444345,9.242794765,9.509290478,9.555597312,9.317816283,9.568267309,9.820379739,10.23786629,10.48547837,10.35124639,10.56793259,10.54950141,10.59823678,10.7547416,10.863694,11.8170677,11.80213522,11.8835174,11.75839532,12.85795532,12.86384191,12.68023833,13.45311265,13.40108324,,,,,,
Djibouti,DJI,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7812568,,,,,,,,,,,,,,18.21120343,17.43646609,17.8144126,18.50554901,,,,,,,,,,,,,,
Denmark,DNK,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.55773859,10.56793627,11.26056329,10.96683283,11.1604379,11.60565808,10.55413086,11.76151356,12.22031339,13.12874312,14.0150172,13.70921599,13.91896316,13.2148166,14.02394107,14.76167068,14.30253292,14.78746615,15.1313215,15.05283055,14.47688786,15.87932519,16.56637811,16.47158496,18.11906106,18.77880157,,,,,,
Dominican Republic,DOM,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.02176856,11.03769998,11.06998864,12.26268425,10.95361462,11.02216707,11.19144957,10.92040536,11.02694746,11.23121751,10.93826215,11.55589031,11.37903795,11.86074399,13.45107318,13.53956133,14.27756492,15.07915542,15.51974283,15.96432498,16.45762334,16.66645647,16.21271854,18.03663686,19.28667857,,,,,,,
Algeria,DZA,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.15527727,9.485440981,9.433359667,9.202448468,9.461264401,9.412542864,10.11963271,9.984119681,10.13923275,9.802201498,10.01649765,10.29602609,10.16453084,10.25296483,10.5625976,10.74165342,10.20177793,9.940581329,10.06040902,9.346176204,9.846099028,9.712266856,9.13630529,9.073449653,8.672227888,,,,,,,
